protocol,seed,depth,gradient_norm,surrogate_direct_loss_drop,surrogate_rotated_loss_drop,event_direct_loss_drop,event_rotated_loss_drop,existing_cosine,oracle_cosine,existing_mse,oracle_mse,existing_sign_agreement,oracle_sign_agreement,eligibility_nonzero_fraction,target_energy_on_eligible_edges
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,57a4df58bc78b97b,4,2.497213602,0.006473958,-0.001016821,0.001670967,-0.000265146,0.564089239,0.564089239,0.000000301,0.000000142,0.599609375,0.529785156,0.058837891,0.479230464
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,f65c58963dc3358e,4,2.476757526,0.006395456,-0.001073625,0.001614342,-0.000272342,0.580887735,0.580887735,0.000000301,0.000000138,0.578613281,0.526367188,0.058349609,0.482882977
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,1417d22fbe95b1a5,4,2.462352037,0.006321903,-0.000996402,0.001549778,-0.000254679,0.587338388,0.587338388,0.000000294,0.000000135,0.594970703,0.521728516,0.058349609,0.490473747
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,d67529eb300e7c14,5,3.833935738,0.014777716,-0.005424182,0.002919979,-0.001134218,0.413336098,0.413336098,0.000000690,0.000000381,0.597656250,0.517089844,0.060302734,0.233728483
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,742ca320b1d0f82b,5,3.750822783,0.014106837,-0.005230314,0.002861575,-0.001029220,0.420316607,0.420316607,0.000000690,0.000000362,0.591064453,0.510498047,0.061523438,0.234774023
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,92e43d7e329b743e,5,3.765638351,0.014257973,-0.005442978,0.002835250,-0.001042345,0.430767864,0.430767864,0.000000665,0.000000362,0.596191406,0.511230469,0.060302734,0.233291492
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,309fb6b7b26df055,5,3.819970369,0.014691207,-0.005160764,0.002887216,-0.001039118,0.422772616,0.422772616,0.000000683,0.000000375,0.590576172,0.517333984,0.059814453,0.232996717
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,5f5730cd33306c68,5,3.765814543,0.014227132,-0.005275994,0.002925941,-0.001042373,0.410736203,0.410736144,0.000000703,0.000000368,0.609619141,0.512939453,0.061523438,0.234079301
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,fd0e8a0ab4fae87f,5,3.828306675,0.014739200,-0.005239419,0.002876027,-0.001019774,0.416900486,0.416900486,0.000000671,0.000000378,0.588378906,0.518066406,0.060302734,0.233344272
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,1bc60440344d6492,5,3.813980579,0.014622564,-0.005435448,0.002891512,-0.001033962,0.415350974,0.415350944,0.000000688,0.000000376,0.598388672,0.518798828,0.060546875,0.234987319
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,b9f99d99b517e0a9,5,3.751424551,0.014128326,-0.005355571,0.002850153,-0.001033323,0.423412055,0.423412085,0.000000670,0.000000362,0.637695312,0.507812500,0.061279297,0.230999738
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,c7b117d736da5cbc,5,3.796626806,0.014478183,-0.005351149,0.002912356,-0.001081553,0.412102729,0.412102729,0.000000705,0.000000374,0.596191406,0.516601562,0.060791016,0.234161451
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,6668916cb7acd8d3,5,3.829274178,0.014757826,-0.005635630,0.002857805,-0.001093547,0.422983408,0.422983408,0.000000674,0.000000377,0.613037109,0.516357422,0.060058594,0.233064741
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,84206aaa377754e6,5,3.819542646,0.014665001,-0.005516410,0.002865572,-0.001018710,0.410705656,0.410705656,0.000000692,0.000000379,0.623779297,0.516845703,0.060546875,0.232334167
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,22dbe4e3b839d0fd,5,3.836392403,0.014838354,-0.005163696,0.003030834,-0.001069007,0.427023500,0.427023500,0.000000669,0.000000378,0.582519531,0.518066406,0.059082031,0.233091086
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,40937e39398c4d10,5,3.834850311,0.014808457,-0.005200785,0.003059299,-0.001016357,0.423667312,0.423667312,0.000000676,0.000000378,0.616943359,0.517822266,0.059814453,0.234197751
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,ef4af876b956c927,5,3.776537418,0.014303938,-0.005649764,0.002846781,-0.001154973,0.414067924,0.414067924,0.000000694,0.000000370,0.623291016,0.512451172,0.061279297,0.232230350
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,0d02718c3a19453a,5,3.814411402,0.014617876,-0.005508699,0.003004144,-0.001056002,0.409573734,0.409573793,0.000000705,0.000000378,0.587646484,0.517333984,0.060546875,0.233283937
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,ab35cbc5bbe3c151,5,3.808640003,0.014610104,-0.004988485,0.003043355,-0.000977312,0.412038565,0.412038594,0.000000697,0.000000377,0.592773438,0.516113281,0.059814453,0.232886806
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,c9ed45033cb63d64,5,3.824521780,0.014744298,-0.005690260,0.002926685,-0.001107605,0.428091079,0.428091079,0.000000682,0.000000375,0.604492188,0.514160156,0.059814453,0.234077007
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,57a4df58bc78b97b,5,3.779241562,0.014336878,-0.005289443,0.002769669,-0.001060180,0.430357128,0.430357158,0.000000666,0.000000364,0.603027344,0.509277344,0.061279297,0.232586309
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,f65c58963dc3358e,5,3.815650463,0.014648465,-0.005664120,0.002773731,-0.001139007,0.433452040,0.433452010,0.000000651,0.000000370,0.600585938,0.513671875,0.060546875,0.233448610
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,1417d22fbe95b1a5,5,3.714057922,0.013806844,-0.004908562,0.002687234,-0.000909180,0.420666218,0.420666218,0.000000698,0.000000354,0.619140625,0.506835938,0.062011719,0.234161988
