seed,depth,temperature,gradient_norm,soft_direct_loss_drop,soft_rotated_loss_drop,tempered_direct_loss_drop,tempered_rotated_loss_drop
15453308257587330068,3,0.1000,2.082650,0.004757,-0.001334,0.000002,-0.000000
15453308257587330068,3,hard,2.082650,0.004757,-0.001334,0.000000,0.000000
8371249665055979563,3,soft,1.976781,0.004245,-0.001111,0.004245,-0.001111
8371249665055979563,3,2.0000,1.976781,0.004245,-0.001111,0.000056,-0.000018
8371249665055979563,3,1.0000,1.976781,0.004245,-0.001111,0.000170,-0.000052
8371249665055979563,3,0.5000,1.976781,0.004245,-0.001111,0.000759,-0.000189
8371249665055979563,3,0.2500,1.976781,0.004245,-0.001111,0.000392,-0.000076
8371249665055979563,3,0.1000,1.976781,0.004245,-0.001111,0.000002,-0.000000
8371249665055979563,3,hard,1.976781,0.004245,-0.001111,0.000000,0.000000
10584648148176565310,3,soft,2.059683,0.004676,-0.001347,0.004676,-0.001347
10584648148176565310,3,2.0000,2.059683,0.004676,-0.001347,0.000059,-0.000021
10584648148176565310,3,1.0000,2.059683,0.004676,-0.001347,0.000181,-0.000058
10584648148176565310,3,0.5000,2.059683,0.004676,-0.001347,0.000803,-0.000205
10584648148176565310,3,0.2500,2.059683,0.004676,-0.001347,0.000406,-0.000080
10584648148176565310,3,0.1000,2.059683,0.004676,-0.001347,0.000002,-0.000000
10584648148176565310,3,hard,2.059683,0.004676,-0.001347,0.000000,0.000000
3503715438342828117,3,soft,2.054646,0.004654,-0.001268,0.004654,-0.001268
3503715438342828117,3,2.0000,2.054646,0.004654,-0.001268,0.000058,-0.000021
3503715438342828117,3,1.0000,2.054646,0.004654,-0.001268,0.000179,-0.000059
3503715438342828117,3,0.5000,2.054646,0.004654,-0.001268,0.000797,-0.000221
3503715438342828117,3,0.2500,2.054646,0.004654,-0.001268,0.000393,-0.000096
3503715438342828117,3,0.1000,2.054646,0.004654,-0.001268,0.000002,-0.000000
3503715438342828117,3,hard,2.054646,0.004654,-0.001268,0.000000,0.000000
6870017868308966504,3,soft,2.077489,0.004741,-0.001352,0.004741,-0.001352
6870017868308966504,3,2.0000,2.077489,0.004741,-0.001352,0.000060,-0.000021
6870017868308966504,3,1.0000,2.077489,0.004741,-0.001352,0.000183,-0.000060
6870017868308966504,3,0.5000,2.077489,0.004741,-0.001352,0.000810,-0.000227
6870017868308966504,3,0.2500,2.077489,0.004741,-0.001352,0.000417,-0.000111
6870017868308966504,3,0.1000,2.077489,0.004741,-0.001352,0.000002,-0.000000
6870017868308966504,3,hard,2.077489,0.004741,-0.001352,0.000000,0.000000
18234668199544023167,3,soft,2.070482,0.004654,-0.001412,0.004654,-0.001412
18234668199544023167,3,2.0000,2.070482,0.004654,-0.001412,0.000059,-0.000022
18234668199544023167,3,1.0000,2.070482,0.004654,-0.001412,0.000178,-0.000060
18234668199544023167,3,0.5000,2.070482,0.004654,-0.001412,0.000773,-0.000198
18234668199544023167,3,0.2500,2.070482,0.004654,-0.001412,0.000393,-0.000078
18234668199544023167,3,0.1000,2.070482,0.004654,-0.001412,0.000002,-0.000000
18234668199544023167,3,hard,2.070482,0.004654,-0.001412,0.000000,0.000000
2001287458986747026,3,soft,2.003670,0.004404,-0.001189,0.004404,-0.001189
2001287458986747026,3,2.0000,2.003670,0.004404,-0.001189,0.000056,-0.000019
2001287458986747026,3,1.0000,2.003670,0.004404,-0.001189,0.000172,-0.000054
2001287458986747026,3,0.5000,2.003670,0.004404,-0.001189,0.000772,-0.000210
2001287458986747026,3,0.2500,2.003670,0.004404,-0.001189,0.000393,-0.000099
2001287458986747026,3,0.1000,2.003670,0.004404,-0.001189,0.000002,-0.000000
2001287458986747026,3,hard,2.003670,0.004404,-0.001189,0.000000,0.000000
13400911004452511913,3,soft,2.012577,0.004429,-0.001290,0.004429,-0.001290
13400911004452511913,3,2.0000,2.012577,0.004429,-0.001290,0.000054,-0.000020
13400911004452511913,3,1.0000,2.012577,0.004429,-0.001290,0.000169,-0.000057
13400911004452511913,3,0.5000,2.012577,0.004429,-0.001290,0.000771,-0.000194
13400911004452511913,3,0.2500,2.012577,0.004429,-0.001290,0.000375,-0.000068
